category,term
Cultural groups,Transcultural care
Cultural groups,Subculture
Cultural groups,Culturally sensitive
Cultural groups,Cultural
Cultural groups,Ethnic heritage
Cultural groups,Cultural custom
Cultural groups,Health beliefs
Cultural groups,Western ways
Cultural groups,Eastern ways
Cultural groups,cultural sensitivity
Cultural groups,sensitivity
Cultural groups,cultural practice
Countries,First world
Countries,Poor world
Countries,Colonize
Countries,Imperial  world
Countries,Empire world
Countries,Western world
Countries,Eastern world
Countries,New World
Countries,second world
Countries,third world
Countries,developing world
Countries,developed world
Countries,colony world
Race ,Black
Race ,Negro
Race ,Afro-American
Race ,African American
Race ,African-American
Race ,Latino
Race ,Latinx
Race ,Hispanic
Race ,Asian
Race ,Asian American
Race ,Oriental
Race ,Indigenous
Race ,Native American
Race ,American Indian
Race ,Alaskan Native
Race ,Mixed race
Race ,Light skin
Race ,Colorism
Race ,"Gypsy, Roma"
Race ,Eskimo
Race ,Person of color
Race ,POC
Gender,Fem
Gender,feminine
Gender,Masc
Gender,masculine
Gender,Biological sex 
Gender,Sex assigned
Gender,Assigned sex
Gender,Assigned female at birth 
Gender,Assigned male at birth 
Gender,Born female
Gender,Born male
Gender,Hermaphrodite 
Gender,She-male
Gender,he-female 
Gender,Gender
Gender,Cisgender
Gender,Boy
Gender,Girls
Gender,Girl
Gender identity,Trans
Gender identity,transgender
Gender identity,Transsexual
Gender identity,Transvestite
Gender identity,Hermaphrodite
Gender identity,Trans man
Gender identity,Trans woman
Gender identity,Trans person
Gender identity,Crossdresser 
Gender identity,Gender nonconforming
Gender identity,Nonbinary
Gender identity,Gender dysphoria
Gender identity,Gender identity disorder
Gender identity,Hormone therapy
Gender identity,Gender fluid
Gender identity,Genderqueer
Gender identity,Gender queer
Gender identity,Pangender
Gender identity,Gender variant
Gender identity,Bigender
Gender identity,Agender 
Sex,Intersex
Sex,Sexism
Sex,Male
Sex,females
Sex,Female
Socioeconomic status,Homeless
Socioeconomic status,Transient
Socioeconomic status,Poverty
Socioeconomic status,The poor
Socioeconomic status,poor people
Socioeconomic status,Upper class
Socioeconomic status,upper-middle class
Socioeconomic status,middle class
Socioeconomic status,working class
Socioeconomic status,lower class
Socioeconomic status,Blue collar
Socioeconomic status,White collar
Socioeconomic status,Caste
Socioeconomic status,Ghetto
Socioeconomic status,the ghetto
Socioeconomic status,Slum
Socioeconomic status,the slums
Socioeconomic status,Urban
Socioeconomic status,Rural
Socioeconomic status,Suburban
Socioeconomic status,Rich
Socioeconomic status,The One Percent
Sexual orientation,Heterosexual
Sexual orientation,hetero
Sexual orientation,Homosexual
Sexual orientation,homo
Sexual orientation,Gay
Sexual orientation,Lesbian
Sexual orientation,Queer
